Date,month,NestID,ClutchSize,TQ,GS,RW,Territory,Year,Pair,InitDateEst,female,mean,delta
22-Jan-08,7,206,4,15,4,169.1,8,2007,157,22-Jan-08,14,116.23,52.87
16-Mar-08,9,263,3,15,4,97.1,8,2007,157,16-Mar-08,14,116.23,-19.13
2-Apr-07,10,113,3,5,2,290.8,30,2006,15,8-Apr-07,15,290.8,0
17-Jun-06,1,99,1,6,2,0,43,2006,43,1-Jul-06,16,56.18,-56.18
16-Apr-07,10,110,3,6,3,280.9,43,2006,43,16-Apr-07,16,56.18,224.72
3-Jun-07,12,194,1,6,2,30.4,43,2006,43,6-Jun-07,16,56.18,-25.78
29-Apr-08,11,303,3,6,3,0,43,2007,43,2-May-08,16,56.18,-56.18
26-Jun-08,1,317,2,6,3,25.8,43,2008,43,3-Jul-08,16,56.18,-30.38
2-Jun-06,12,30,3,6,2,0,43,2005,147,8-Jun-06,16,56.18,-56.18
25-Feb-06,8,82,2,6,2,140.6,6,2005,163,28-Feb-06,17,50.82,89.78
3-Aug-06,2,33,3,6,4,0.6,6,2006,163,4-Aug-06,17,50.82,-50.22
27-Sep-06,3,47,3,6,4,0.1,6,2006,163,27-Sep-06,17,50.82,-50.72
4-Nov-06,5,58,1,6,4,82.4,6,2006,163,5-Nov-06,17,50.82,31.58
26-May-07,11,120,2,6,4,30.4,6,2006,163,27-May-07,17,50.82,-20.42
5-May-06,11,13,2,12,2,21,1,2005,33,5-May-06,18,150.66,-129.66
19-Feb-09,8,342,1,17,2,458.9,15,2008,51,19-Feb-09,18,150.66,308.24
4-Mar-09,9,351,4,17,2,260.4,15,2008,51,4-Mar-09,18,150.66,109.74
19-Aug-09,2,410,3,17,3,0,15,2009,51,19-Aug-09,18,150.66,-150.66
7-Feb-10,8,447,3,17,4,154.2,15,2009,51,7-Feb-10,18,150.66,3.54
2-Jul-10,1,469,3,17,4,0,15,2010,51,2-Jul-10,18,150.66,-150.66
31-Jul-10,2,492,3,17,4,36.55,15,2010,51,1-Aug-10,18,150.66,-114.11
3-Nov-10,5,524,3,17,7,121.1,15,2010,51,3-Nov-10,18,150.66,-29.56
10-Sep-06,3,43,2,15,4,0,2,2006,153,11-Sep-06,18,150.66,-150.66
15-Sep-07,3,145,2,15,2,0,2,2007,153,16-Sep-07,18,150.66,-150.66
27-Dec-07,6,195,4,15,2,204.1,2,2007,153,28-Dec-07,18,150.66,53.44
18-Jan-08,7,204,2,15,2,306,2,2007,153,19-Jan-08,18,150.66,155.34
11-Feb-08,8,223,2,15,2,314.5,2,2007,153,12-Feb-08,18,150.66,163.84
